cris,e,marco,mateu,eva
,eho,,,
,,,,evangelho
,ee,,,
,,,mateus,
,,marcos,,
,,marcosjesus,,
,,,mateusjesus,
cristo,,,,
,ea,,,
,eva,,,
,,,,evava
,ehava,,,
,eaagwa,,,
,ena,,,
,eko,,,
,ei,,,
,ero,,,
,ehetero,,,
,emo,,,
,eamo,,,
cristoramo,,,,
,eako,,,
,eki,,,
,ereki,,,
,ete,,,
,eharamo,,,
,eia,,,
,erva,,,
,esromva,,,
,ereko,,,
,epi,,,
,eapeva,,,
,eka,,,
,euka,,,
,evo,,,
,egwovo,,,
,eavo,,,
,erẽ,,,
,eha,,,
,eharava,,,
,ey,,,
,epy,,,
,eagwera,,,
,emondo,,,
,eru,,,
,epohi,,,
,epotari,,,
,ema,,,
,eve,,,
,epeve,,,
,eukari,,,
,eji,,,
,eno,,,
,ehara,,,
,ejiheve,,,
,ekote,,,
,erame,,,
,ekoe,,,
,emame,,,
crispo,,,,
,epo,,,
,eg,,,
,emanuel,,,
,ega,,,
,ejipyri,,,
,enog,,,
,eata,,,
,eja,,,
,egwyra,,,
,ehema,,,
,eag,,,
,ere,,,
,ehepia,,,
,ehepy,,,
,ekatui,,,
,ekwava,,,
,embo,,,
,enhi,,,
,earũiva,,,
,eremo,,,
,ekovo,,,
,ekwaha,,,
,emombe,,,
,epavame,,,
,ejora,,,
,epava,,,
,epavirẽ,,,
,ehei,,,
,epytavo,,,
,ehai,,,
,epe,,,
,ehetei,,,
,emba,,,
,ejuka,,,
,ejivyra,,,
,eyme,,,
,evy,,,
,eyhẽa,,,
,eroho,,,
,epyta,,,
,evya,,,
,egito,,,
,ejive,,,
,ejihe,,,
,eahyahi,,,
,ejivy,,,
,eje,,,
,euhu,,,
,ejijyi,,,
,erog,,,
,emongi,,,
,eku,,,
,epira,,,
,epohia,,,
,epotare,,,
,eaa,,,
,eahyi,,,
,euhui,,,
,enhimbo,,,
,ejikovo,,,
,earõ,,,
,ejipe,,,
,eapo,,,
,ejo,,,
,embogwa,,,
,ekatua,,,
,ejikote,,,
,ekatue,,,
,epoa,,,
,eapoa,,,
,emongo,,,
,embava,,,
,ehoa,,,
,epavi,,,
,eliva,,,
,ehorame,,,
,eirũ,,,
,epyhy,,,
,ejikoga,,,
,ejuhu,,,
,eahy,,,
,epohano,,,
,emombi,,,
,ehendu,,,
,ejory,,,
,emombo,,,
,eina,,,
,ejuvete,,,
,earõe,,,
,emano,,,
,etehei,,,
,ereru,,,
,eheja,,,
,eapy,,,
,erorame,,,
,ekorame,,,
,ehekyi,,,
,ejekote,,,
,ehaygwe,,,
,emog,,,
,etehea,,,
,ejipyga,,,
,ejirova,,,
,epota,,,
,epaletó,,,
,embuhu,,,
,enhonga,,,
,eapenhi,,,
,emongy,,,
,ejiko,,,
,enhimbi,,,
,emameva,,,
,ekwave,,,
,ejikoty,,,
,eapouka,,,
,eajesus,,,
,eremoka,,,
,epokoga,,,
,epoko,,,
,erope,,,
,eapyga,,,
,erovia,,,
,ereho,,,
,ejyva,,,
,erejo,,,
,emanomo,,,
,erejiko,,,
,emonhi,,,
,eangavi,,,
,epya,,,
,eahyavo,,,
,elias,,,
,eliasva,,,
,erepota,,,
,eaaerẽ,,,
,erereko,,,
,epyho,,,
,embavi,,,
,eretỹ,,,
,ejuvame,,,
,emondoa,,,
,eypyi,,,
,embohe,,,
,ejuva,,,
,ejupi,,,
,ejoa,,,
,emanoe,,,
,ejupa,,,
,earũive,,,
,erea,,,
,ejupive,,,
,ereroho,,,
,eypya,,,
,erembo,,,
,evoja,,,
,eaji,,,
,evava,,,
,ekiavo,,,
,eavouka,,,
,epyhei,,,
,eapoapo,,,
,erepyhy,,,
,ejiheva,,,
,erenhi,,,
,embyra,,,
,ejy,,,
,eli,,,
,emoanha,,,
,ekyti,,,
,ejipei,,,
,ekavi,,,
,epũa,,,
,efatá,,,
,eamouka,,,
,eremano,,,
,emoirũ,,,
,eloí,,,
,exava,,,
,eatay,,,
,epigame,,,
,erejehe,,,
,ehoeho,,,
,eakiro,,,
,ejipoko,,,
,erepo,,,
,eremono,,,
,eroko,,,
,enxofre,,,
,erepe,,,
,embovy,,,
,emaús,,,
,ememei,,,
,enom,,,
,ereapo,,,
,ejiupi,,,
,efraim,,,
,ereheka,,,
,estêvão,,,
,emorva,,,
,ereuhu,,,
,etiópia,,,
,enéias,,,
,elimas,,,
,erasto,,,
,embota,,,
,ereapy,,,
,esaúva,,,
,enhirũ,,,
,epêneto,,,
,espelho,,,
cristal,,,,
,evódia,,,
,epafras,,,
,earomba,,,
,ejipero,,,
,eandehe,,,
,eroji,,,
,enoque,,,
,eaonhi,,,
,esmirna,,,
